date,sales,pct_change
2023-01-31,1769187.2,
2023-02-28,1563871.62,-0.11605079439869326
2023-03-31,1736827.98,0.11059498605134865
2023-04-30,1754806.24,0.010351203577455115
2023-05-31,2160382.15,0.2311229016372771
2023-06-30,1602218.07,-0.25836358627569656
2023-07-31,1590193.59,-0.007504896009567497
2023-08-31,2017223.13,0.2685393418042892
2023-09-30,1698646.42,-0.15792834479346862
2023-10-31,1841766.32,0.08425526249306214
2023-11-30,1755592.88,-0.04678847640128425
2023-12-31,1954340.32,0.11320816019714108
2024-01-31,1949207.78,-0.0026262263268457264
2024-02-29,1811835.41,-0.07047600128088971
2024-03-31,1896288.72,0.04661202090094929
2024-04-30,1698343.11,-0.10438579732731834
2024-05-31,1774042.66,0.044572589339735735
2024-06-30,1550383.8800000001,-0.1260729434770187
